row_y,left_x,right_x,center_x,fitted_center_x,width,center_residual
76,443.0,446.0,444.5,435.88189697265625,4.0,8.61810302734375
77,441.0,446.0,443.5,434.6593322753906,6.0,8.840667724609375
78,440.0,446.0,443.0,433.4367980957031,7.0,9.563201904296875
79,439.0,446.0,442.5,432.2142333984375,8.0,10.2857666015625
80,438.0,445.0,441.5,430.99169921875,8.0,10.50830078125
81,437.0,443.0,440.0,429.7691345214844,7.0,10.230865478515625
82,435.0,442.0,438.5,428.54656982421875,8.0,9.95343017578125
83,434.0,441.0,437.5,427.32403564453125,8.0,10.17596435546875
84,433.0,440.0,436.5,426.1014709472656,8.0,10.398529052734375
85,431.0,438.0,434.5,424.8789367675781,8.0,9.621063232421875
86,430.0,437.0,433.5,423.6563720703125,8.0,9.8436279296875
87,429.0,436.0,432.5,422.4338073730469,8.0,10.066192626953125
88,427.0,435.0,431.0,421.2112731933594,9.0,9.788726806640625
89,426.0,433.0,429.5,419.98870849609375,8.0,9.51129150390625
90,424.0,432.0,428.0,418.76617431640625,9.0,9.23382568359375
91,423.0,430.0,426.5,417.5436096191406,8.0,8.956390380859375
92,421.0,429.0,425.0,416.321044921875,9.0,8.678955078125
93,419.0,427.0,423.0,415.0985107421875,9.0,7.9014892578125
94,417.0,425.0,421.0,413.8759460449219,9.0,7.124053955078125
95,416.0,424.0,420.0,412.65338134765625,9.0,7.34661865234375
96,414.0,421.0,417.5,411.43084716796875,8.0,6.06915283203125
97,412.0,419.0,415.5,410.2082824707031,8.0,5.291717529296875
98,411.0,418.0,414.5,408.9857482910156,8.0,5.514251708984375
99,408.0,416.0,412.0,407.76318359375,9.0,4.23681640625
100,406.0,415.0,410.5,406.5406188964844,10.0,3.959381103515625
101,404.0,413.0,408.5,405.3180847167969,10.0,3.181915283203125
102,403.0,410.0,406.5,404.09552001953125,8.0,2.40447998046875
103,401.0,408.0,404.5,402.87298583984375,8.0,1.62701416015625
104,399.0,407.0,403.0,401.6504211425781,9.0,1.349578857421875
105,397.0,404.0,400.5,400.4278564453125,8.0,0.0721435546875
106,395.0,402.0,398.5,399.205322265625,8.0,-0.705322265625
107,393.0,400.0,396.5,397.9827575683594,8.0,-1.482757568359375
108,391.0,398.0,394.5,396.7602233886719,8.0,-2.260223388671875
109,389.0,396.0,392.5,395.53765869140625,8.0,-3.03765869140625
110,387.0,394.0,390.5,394.3150939941406,8.0,-3.815093994140625
111,385.0,392.0,388.5,393.0925598144531,8.0,-4.592559814453125
112,383.0,389.0,386.0,391.8699951171875,7.0,-5.8699951171875
113,382.0,388.0,385.0,390.6474609375,7.0,-5.6474609375
114,380.0,386.0,383.0,389.4248962402344,7.0,-6.424896240234375
115,378.0,384.0,381.0,388.20233154296875,7.0,-7.20233154296875
116,376.0,382.0,379.0,386.97979736328125,7.0,-7.97979736328125
117,374.0,380.0,377.0,385.7572326660156,7.0,-8.757232666015625
118,372.0,379.0,375.5,384.53466796875,8.0,-9.03466796875
119,371.0,377.0,374.0,383.3121337890625,7.0,-9.3121337890625
120,369.0,375.0,372.0,382.0895690917969,7.0,-10.089569091796875
121,367.0,373.0,370.0,380.8670349121094,7.0,-10.867034912109375
122,366.0,371.0,368.5,379.64447021484375,6.0,-11.14447021484375
123,364.0,370.0,367.0,378.4219055175781,7.0,-11.421905517578125
124,363.0,369.0,366.0,377.1993713378906,7.0,-11.199371337890625
125,362.0,367.0,364.5,375.976806640625,6.0,-11.476806640625
126,360.0,366.0,363.0,374.7542724609375,7.0,-11.7542724609375
127,359.0,364.0,361.5,373.5317077636719,6.0,-12.031707763671875
128,358.0,363.0,360.5,372.30914306640625,6.0,-11.80914306640625
129,356.0,361.0,358.5,371.08660888671875,6.0,-12.58660888671875
130,355.0,360.0,357.5,369.8640441894531,6.0,-12.364044189453125
131,354.0,359.0,356.5,368.6415100097656,6.0,-12.141510009765625
132,353.0,358.0,355.5,367.4189453125,6.0,-11.9189453125
133,352.0,356.0,354.0,366.1963806152344,5.0,-12.196380615234375
134,350.0,355.0,352.5,364.9738464355469,6.0,-12.473846435546875
135,349.0,354.0,351.5,363.75128173828125,6.0,-12.25128173828125
136,348.0,353.0,350.5,362.52874755859375,6.0,-12.02874755859375
137,347.0,352.0,349.5,361.3061828613281,6.0,-11.806182861328125
138,346.0,351.0,348.5,360.0836181640625,6.0,-11.5836181640625
139,345.0,350.0,347.5,358.861083984375,6.0,-11.361083984375
140,344.0,349.0,346.5,357.6385192871094,6.0,-11.138519287109375
141,343.0,348.0,345.5,356.41595458984375,6.0,-10.91595458984375
142,342.0,347.0,344.5,355.19342041015625,6.0,-10.69342041015625
143,341.0,346.0,343.5,353.9708557128906,6.0,-10.470855712890625
144,340.0,345.0,342.5,352.7483215332031,6.0,-10.248321533203125
145,339.0,344.0,341.5,351.5257568359375,6.0,-10.0257568359375
146,338.0,343.0,340.5,350.3031921386719,6.0,-9.803192138671875
147,337.0,342.0,339.5,349.0806579589844,6.0,-9.580657958984375
148,337.0,341.0,339.0,347.85809326171875,5.0,-8.85809326171875
149,336.0,340.0,338.0,346.63555908203125,5.0,-8.63555908203125
150,335.0,340.0,337.5,345.4129943847656,6.0,-7.912994384765625
151,334.0,339.0,336.5,344.1904296875,6.0,-7.6904296875
152,333.0,338.0,335.5,342.9678955078125,6.0,-7.4678955078125
153,333.0,337.0,335.0,341.7453308105469,5.0,-6.745330810546875
154,332.0,336.0,334.0,340.5227966308594,5.0,-6.522796630859375
155,331.0,335.0,333.0,339.30023193359375,5.0,-6.30023193359375
156,330.0,334.0,332.0,338.0776672363281,5.0,-6.077667236328125
157,329.0,333.0,331.0,336.8551330566406,5.0,-5.855133056640625
158,328.0,333.0,330.5,335.632568359375,6.0,-5.132568359375
159,328.0,332.0,330.0,334.4100341796875,5.0,-4.4100341796875
160,327.0,331.0,329.0,333.1874694824219,5.0,-4.187469482421875
161,326.0,330.0,328.0,331.96490478515625,5.0,-3.96490478515625
162,326.0,329.0,327.5,330.74237060546875,4.0,-3.24237060546875
163,325.0,329.0,327.0,329.5198059082031,5.0,-2.519805908203125
164,324.0,328.0,326.0,328.2972412109375,5.0,-2.2972412109375
165,323.0,327.0,325.0,327.07470703125,5.0,-2.07470703125
166,323.0,326.0,324.5,325.8521423339844,4.0,-1.352142333984375
167,322.0,326.0,324.0,324.6296081542969,5.0,-0.629608154296875
168,321.0,325.0,323.0,323.40704345703125,5.0,-0.40704345703125
169,320.0,324.0,322.0,322.1844787597656,5.0,-0.184478759765625
170,319.0,323.0,321.0,320.9619445800781,5.0,0.038055419921875
171,319.0,322.0,320.5,319.7393798828125,4.0,0.7606201171875
172,318.0,322.0,320.0,318.516845703125,5.0,1.483154296875
173,317.0,321.0,319.0,317.2942810058594,5.0,1.705718994140625
174,316.0,320.0,318.0,316.07171630859375,5.0,1.92828369140625
175,316.0,319.0,317.5,314.84918212890625,4.0,2.65081787109375
176,315.0,318.0,316.5,313.6266174316406,4.0,2.873382568359375
177,314.0,318.0,316.0,312.4040832519531,5.0,3.595916748046875
178,313.0,317.0,315.0,311.1815185546875,5.0,3.8184814453125
179,313.0,316.0,314.5,309.9589538574219,4.0,4.541046142578125
180,313.0,315.0,314.0,308.7364196777344,3.0,5.263580322265625
181,311.0,313.0,312.0,307.51385498046875,3.0,4.48614501953125
182,310.0,313.0,311.5,306.29132080078125,4.0,5.20867919921875
183,309.0,313.0,311.0,305.0687561035156,5.0,5.931243896484375
184,309.0,312.0,310.5,303.84619140625,4.0,6.65380859375
185,309.0,311.0,310.0,302.6236572265625,3.0,7.3763427734375
186,307.0,309.0,308.0,301.4010925292969,3.0,6.598907470703125
187,306.0,309.0,307.5,300.17852783203125,4.0,7.32147216796875
188,305.0,309.0,307.0,298.95599365234375,5.0,8.04400634765625
189,304.0,308.0,306.0,297.7334289550781,5.0,8.266571044921875
190,303.0,307.0,305.0,296.5108947753906,5.0,8.489105224609375
191,302.0,306.0,304.0,295.288330078125,5.0,8.711669921875
192,301.0,305.0,303.0,294.0657653808594,5.0,8.934234619140625
193,300.0,304.0,302.0,292.8432312011719,5.0,9.156768798828125
194,299.0,303.0,301.0,291.62066650390625,5.0,9.37933349609375
195,298.0,302.0,300.0,290.39813232421875,5.0,9.60186767578125
196,297.0,301.0,299.0,289.1755676269531,5.0,9.824432373046875
197,296.0,300.0,298.0,287.9530029296875,5.0,10.0469970703125
198,295.0,299.0,297.0,286.73046875,5.0,10.26953125
199,294.0,299.0,296.5,285.5079040527344,6.0,10.992095947265625
200,293.0,298.0,295.5,284.2853698730469,6.0,11.214630126953125
201,292.0,297.0,294.5,283.06280517578125,6.0,11.43719482421875
202,291.0,296.0,293.5,281.8402404785156,6.0,11.659759521484375
203,290.0,294.0,292.0,280.6177062988281,5.0,11.382293701171875
204,288.0,293.0,290.5,279.3951416015625,6.0,11.1048583984375
205,287.0,292.0,289.5,278.172607421875,6.0,11.327392578125
206,285.0,291.0,288.0,276.9500427246094,7.0,11.049957275390625
207,284.0,290.0,287.0,275.72747802734375,7.0,11.27252197265625
208,283.0,289.0,286.0,274.50494384765625,7.0,11.49505615234375
209,281.0,287.0,284.0,273.2823791503906,7.0,10.717620849609375
210,280.0,286.0,283.0,272.059814453125,7.0,10.940185546875
211,279.0,284.0,281.5,270.8372802734375,6.0,10.6627197265625
212,277.0,283.0,280.0,269.6147155761719,7.0,10.385284423828125
213,275.0,282.0,278.5,268.3921813964844,8.0,10.107818603515625
214,273.0,281.0,277.0,267.16961669921875,9.0,9.83038330078125
215,271.0,280.0,275.5,265.9470520019531,10.0,9.552947998046875
216,270.0,279.0,274.5,264.7245178222656,10.0,9.775482177734375
217,269.0,277.0,273.0,263.501953125,9.0,9.498046875
218,267.0,275.0,271.0,262.2794189453125,9.0,8.7205810546875
219,266.0,274.0,270.0,261.0568542480469,9.0,8.943145751953125
220,264.0,272.0,268.0,259.83428955078125,9.0,8.16571044921875
221,261.0,270.0,265.5,258.61175537109375,10.0,6.88824462890625
222,259.0,268.0,263.5,257.3891906738281,10.0,6.110809326171875
223,258.0,266.0,262.0,256.1666564941406,9.0,5.833343505859375
224,256.0,265.0,260.5,254.944091796875,10.0,5.555908203125
225,254.0,264.0,259.0,253.72154235839844,11.0,5.2784576416015625
